fcvis,fcsom,fcda,fcva,fclim,fcfpn,fcdmn,fcsc,scvis,scsom,scda,scva,sclim,scfpn,scdmn,scsc,fctotal,sctotal
,,,,,,,,,,,,,,,,0.12,0.4
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.04,0.36
,,,,,,,,,,,,,,,,0.16,0.28
,,,,,,,,,,,,,,,,0.16,0.28
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0.2,0.52
,,,,,,,,,,,,,,,,0.04,0.4
,,,,,,,,,,,,,,,,0.08,0.36
,,,,,,,,,,,,,,,,0.28,0.28
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.12,0.36
,,,,,,,,,,,,,,,,0.08,0.32
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.28
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0.24,0.16
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.24,0.08
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.16,0.16
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.2,0.16
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.36
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.24
