,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.4666666666666666,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
1,0.0,0.3,0.1,0.07500000000000001,0.0,0.07500000000000001,0.1,0.025,0.025,0.0,0.0,0.05,0.05,0.05,0.0,0.0
2,0.0,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.0,0.13043478260869565,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
3,0.08,0.16,0.04,0.04,0.16,0.16,0.24000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
4,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693
5,0.03333333333333333,0.1,0.13333333333333333,0.2333333333333333,0.03333333333333333,0.03333333333333333,0.2333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333
6,0.05128205128205128,0.1282051282051282,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.0,0.02564102564102564,0.15384615384615383,0.17948717948717946,0.02564102564102564
7,0.38888888888888895,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.03333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.1,0.1,0.1
9,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.24999999999999997,0.15,0.15,0.0,0.1,0.07500000000000001,0.025
10,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.2608695652173913,0.13043478260869565,0.0,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216
11,0.0,0.04,0.0,0.0,0.08,0.0,0.04,0.04,0.0,0.12,0.08,0.04,0.04,0.0,0.36,0.04
12,0.07692307692307693,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693
13,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.1,0.16666666666666666,0.03333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.0
14,0.0,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.07692307692307693,0.0,0.05128205128205128,0.15384615384615383,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.10256410256410256,0.15384615384615383,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.0,0.1111111111111111
